"kartaID","cijena","dostupneKarte","maxBrojKartiPoKorisniku","naplataOtkazivanja","status","uslovOtkazivanja","dogadjajID","sektorID","brojKupljenih","brojRezervisanih"
1,137.64,100,5,0,"DOSTUPNA","24 sata pre događaja",1,2,0,0
2,75.23,500,5,0,"DOSTUPNA","24 sata pre događaja",1,3,0,0
3,58.79,200,5,0,"DOSTUPNA","24 sata pre događaja",1,4,0,0
4,132.5,150,5,0,"DOSTUPNA","24 sata pre događaja",1,5,0,0
5,47.86,300,5,0,"DOSTUPNA","24 sata pre događaja",1,6,0,0
6,145.22,100,5,0,"DOSTUPNA","24 sata pre događaja",2,2,0,0
7,80.12,500,5,0,"DOSTUPNA","24 sata pre događaja",2,3,0,0
8,60.33,200,5,0,"DOSTUPNA","24 sata pre događaja",2,4,0,0
9,140.4,150,5,0,"DOSTUPNA","24 sata pre događaja",2,5,0,0
10,52.9,300,5,0,"DOSTUPNA","24 sata pre događaja",2,6,0,0
11,152.75,100,5,0,"DOSTUPNA","24 sata pre događaja",3,2,0,0
12,85.41,500,5,0,"DOSTUPNA","24 sata pre događaja",3,3,0,0
13,63.9,200,5,0,"DOSTUPNA","24 sata pre događaja",3,4,0,0
14,145.65,150,5,0,"DOSTUPNA","24 sata pre događaja",3,5,0,0
15,55.2,300,5,0,"DOSTUPNA","24 sata pre događaja",3,6,0,0
16,158.34,100,5,0,"DOSTUPNA","24 sata pre događaja",4,2,0,0
17,90.55,500,5,0,"DOSTUPNA","24 sata pre događaja",4,3,0,0
18,67.24,200,5,0,"DOSTUPNA","24 sata pre događaja",4,4,0,0
19,150.8,150,5,0,"DOSTUPNA","24 sata pre događaja",4,5,0,0
20,58.45,300,5,0,"DOSTUPNA","24 sata pre događaja",4,6,0,0
21,140.4,100,5,0,"DOSTUPNA","24 sata pre događaja",5,2,0,0
22,78.6,500,5,0,"DOSTUPNA","24 sata pre događaja",5,3,0,0
23,62.75,200,5,0,"DOSTUPNA","24 sata pre događaja",5,4,0,0
24,135.85000000000002,150,5,0,"DOSTUPNA","24 sata pre događaja",5,5,0,0
25,51.3,300,5,0,"DOSTUPNA","24 sata pre događaja",5,6,0,0
26,147.9,100,5,0,"DOSTUPNA","24 sata pre događaja",6,2,0,0
27,82.1,500,5,0,"DOSTUPNA","24 sata pre događaja",6,3,0,0
28,65.2,200,5,0,"DOSTUPNA","24 sata pre događaja",6,4,0,0
29,148.75,150,5,0,"DOSTUPNA","24 sata pre događaja",6,5,0,0
30,54.4,300,5,0,"DOSTUPNA","24 sata pre događaja",6,6,0,0
31,135.55,100,5,0,"DOSTUPNA","24 sata pre događaja",7,2,0,0
32,76.45,500,5,0,"DOSTUPNA","24 sata pre događaja",7,3,0,0
33,60.2,200,5,0,"DOSTUPNA","24 sata pre događaja",7,4,0,0
34,142,150,5,0,"DOSTUPNA","24 sata pre događaja",7,5,0,0
35,50.1,300,5,0,"DOSTUPNA","24 sata pre događaja",7,6,0,0
36,149.3,100,5,0,"DOSTUPNA","24 sata pre događaja",8,2,0,0
37,84.75,500,5,0,"DOSTUPNA","24 sata pre događaja",8,3,0,0
38,68.9,200,5,0,"DOSTUPNA","24 sata pre događaja",8,4,0,0
39,150.25,150,5,0,"DOSTUPNA","24 sata pre događaja",8,5,0,0
40,57.15,300,5,0,"DOSTUPNA","24 sata pre događaja",8,6,0,0
41,155.2,100,5,0,"DOSTUPNA","24 sata pre događaja",9,2,0,0
42,87.5,500,5,0,"DOSTUPNA","24 sata pre događaja",9,3,0,0
43,70.45,200,5,0,"DOSTUPNA","24 sata pre događaja",9,4,0,0
44,155,150,5,0,"DOSTUPNA","24 sata pre događaja",9,5,0,0
45,60.75,300,5,0,"DOSTUPNA","24 sata pre događaja",9,6,0,0
46,140.1,100,5,0,"DOSTUPNA","24 sata pre događaja",10,2,0,0
47,79.3,500,5,0,"DOSTUPNA","24 sata pre događaja",10,3,0,0
48,64.2,200,5,0,"DOSTUPNA","24 sata pre događaja",10,4,0,0
49,145.45,150,5,0,"DOSTUPNA","24 sata pre događaja",10,5,0,0
50,53.6,300,5,0,"DOSTUPNA","24 sata pre događaja",10,6,0,0
51,150.75,100,5,0,"DOSTUPNA","24 sata pre događaja",11,2,0,0
52,81.25,500,5,0,"DOSTUPNA","24 sata pre događaja",11,3,0,0
53,66.1,200,5,0,"DOSTUPNA","24 sata pre događaja",11,4,0,0
54,148.9,150,5,0,"DOSTUPNA","24 sata pre događaja",11,5,0,0
55,56.4,300,5,0,"DOSTUPNA","24 sata pre događaja",11,6,0,0
56,145.85,100,5,0,"DOSTUPNA","24 sata pre događaja",12,2,0,0
57,82.75,500,5,0,"DOSTUPNA","24 sata pre događaja",12,3,0,0
58,69.2,200,5,0,"DOSTUPNA","24 sata pre događaja",12,4,0,0
59,153,150,5,0,"DOSTUPNA","24 sata pre događaja",12,5,0,0
60,59.35,300,5,0,"DOSTUPNA","24 sata pre događaja",12,6,0,0
