"lokacijaID","adresa","brojSektora","naziv","putanjaDoSlike","mjestoID"
101,"Centralni park, 123",1,"Glavni park","assets/locations_photos/101.png",202
102,"Ulica umetnosti, 45",2,"Galerija umetnosti","assets/locations_photos/102.png",203
103,"Stadionska ulica, 78",3,"Fudbalski stadion","assets/locations_photos/103.png",204
104,"Gradska hala, 12",4,"Gradska hala","assets/locations_photos/104.png",205
105,"Zmaja od Bosne 1",5,"Arena Sarajevo","assets/locations_photos/105.png",206
106,"Ulica 1",7,"Banjalučka Arena","assets/locations_photos/106.png",207
107,"Ulica 2",3,"Hala Pionir","assets/locations_photos/107.png",208
108,"Ulica slobode, 10",1,"Muzej revolucije","assets/locations_photos/108.png",209
109,"Trg nezavisnosti, 22",2,"Tržni centar","assets/locations_photos/109.png",210
110,"Zelenih Bregova, 33",3,"Koncertna sala","assets/locations_photos/110.png",211
111,"Park ulica, 8",4,"Zoološki vrt","assets/locations_photos/111.png",202
112,"Kralja Petra, 45",5,"Biblioteka grada","assets/locations_photos/112.png",203
113,"Pionirska, 50",6,"Centar za sport","assets/locations_photos/113.png",204
114,"Jupiterova ulica, 12",7,"Planinarski dom","assets/locations_photos/114.png",205
115,"Park 1, Grad",5,"Centralni Park","assets/locations_photos/115.png",206
116,"Ulica Galerija 5, Grad",3,"Galerija Moderna","assets/locations_photos/116.png",207
117,"Stadionska 10, Grad",8,"Stadion Grad","assets/locations_photos/117.png",208
118,"Hala 15, Grad",4,"Gradska Hala","assets/locations_photos/118.png",209
119,"Ulica Kluba 20, Grad",2,"Muzički Klub","assets/locations_photos/119.png",210
